date,open,high,low,close,volume,volume(HYPE),market_cap
04/11/2025,$14.19,$15.98,$13.81,$15.74,$47.3 m,3117992,$5.1 bn
04/10/2025,$13.60,$14.43,$13.24,$14.23,$55.6 m,4019264,$4.6 bn
04/09/2025,$11.23,$14.36,$11.13,$13.59,$86.4 m,6810269,$4.2 bn
04/08/2025,$11.50,$12.60,$10.81,$11.22,$61 m,5198760,$3.9 bn
04/07/2025,$10.27,$11.90,$9.39,$11.47,$93.2 m,8726425,$3.6 bn
04/06/2025,$12.04,$12.08,$10.08,$10.25,$39.7 m,3527404,$3.8 bn
04/05/2025,$11.89,$12.16,$11.45,$12.03,$15.2 m,1282707,$4 bn
04/04/2025,$11.71,$12.37,$11.16,$11.89,$44.8 m,3811170,$3.9 bn
04/03/2025,$11.74,$12.58,$11.07,$11.70,$44.1 m,3745403,$3.9 bn
04/02/2025,$13.32,$14.36,$11.76,$11.76,$46.2 m,3465451,$4.4 bn
04/01/2025,$12.99,$13.90,$12.97,$13.32,$29.9 m,2224064,$4.5 bn
03/31/2025,$12.47,$13.44,$12.22,$12.99,$29.3 m,2287886,$4.3 bn
03/30/2025,$12.79,$12.96,$12.27,$12.46,$21.7 m,1719293,$4.2 bn
03/29/2025,$13.38,$13.58,$12.42,$12.80,$26.3 m,2039305,$4.3 bn
03/28/2025,$14.61,$14.91,$13.09,$13.38,$41.2 m,2984479,$4.6 bn
03/27/2025,$14.03,$15.09,$14.00,$14.62,$49.2 m,3382858,$4.9 bn
03/26/2025,$16.03,$16.39,$13.00,$14.05,$151.4 m,9977336,$5.1 bn
03/25/2025,$16.73,$16.98,$15.93,$16.06,$36.1 m,2212406,$5.5 bn
03/24/2025,$16.29,$17.32,$15.75,$16.67,$52.9 m,3162393,$5.6 bn
03/23/2025,$15.59,$16.30,$15.49,$16.29,$29.7 m,1875936,$5.3 bn
03/22/2025,$15.71,$16.67,$15.46,$15.59,$31.7 m,1984497,$5.3 bn
03/21/2025,$14.15,$15.87,$13.96,$15.82,$0,0?,$4.9 bn
03/20/2025,$15.63,$15.75,$14.05,$14.17,$32.1 m,2182101,$4.9 bn
03/19/2025,$14.15,$15.69,$13.80,$15.57,$45.5 m,3098607,$4.9 bn
03/18/2025,$13.25,$14.29,$12.92,$14.18,$25.2 m,1894910,$4.4 bn
03/17/2025,$12.97,$14.01,$12.97,$13.25,$30.6 m,2265684,$4.5 bn
03/16/2025,$14.39,$14.39,$12.84,$12.99,$31.1 m,2291085,$4.5 bn
03/15/2025,$13.78,$14.77,$13.78,$14.38,$19.5 m,1358876,$4.8 bn
03/14/2025,$12.32,$14.48,$12.31,$13.76,$37.6 m,2760625,$4.5 bn
03/13/2025,$13.15,$13.53,$12.14,$12.34,$46.8 m,3702077,$4.2 bn
03/12/2025,$13.80,$14.13,$12.61,$13.26,$60.3 m,4478758,$4.5 bn
03/11/2025,$13.49,$14.71,$13.01,$13.76,$64 m,4535335,$4.7 bn
03/10/2025,$14.48,$15.25,$13.27,$13.51,$68.9 m,4772466,$4.8 bn
03/09/2025,$15.20,$15.60,$14.38,$14.51,$39.5 m,2620887,$5 bn
03/08/2025,$15.11,$16.03,$15.11,$15.21,$28.4 m,1813814,$5.2 bn
03/07/2025,$15.39,$16.39,$14.72,$15.10,$73.9 m,4691763,$5.3 bn
03/06/2025,$17.16,$17.51,$15.01,$15.36,$54.6 m,3319305,$5.5 bn
03/05/2025,$17.28,$17.86,$16.56,$17.16,$52.7 m,3061993,$5.8 bn
03/04/2025,$17.87,$18.06,$15.41,$17.19,$355.4 m,20754514,$5.7 bn
03/03/2025,$20.46,$21.00,$17.48,$17.88,$275.4 m,14342404,$6.4 bn
03/02/2025,$19.62,$20.96,$18.26,$20.48,$250.8 m,12655980,$6.6 bn
03/01/2025,$20.02,$20.51,$18.85,$19.63,$112.8 m,5710682,$6.6 bn
02/28/2025,$20.89,$20.90,$18.52,$20.04,$260.5 m,12975237,$6.7 bn
02/27/2025,$19.52,$21.19,$19.52,$20.90,$214.5 m,10578043,$6.8 bn
02/26/2025,$20.27,$21.41,$18.49,$19.54,$304.8 m,15301912,$6.7 bn
02/25/2025,$19.93,$20.80,$17.11,$20.28,$541.5 m,27737255,$6.5 bn
02/24/2025,$23.21,$23.40,$19.93,$19.95,$368.2 m,17035122,$7.2 bn
